common_name,species_group
Government Canyon Bat Cave meshweaver,Arachnids
Martinique trembler ,Birds
Royal cinclodes,Birds
Maria Island ground lizard,Reptiles
Yellow-billed Cuckoo,Birds
Masked bobwhite ,Birds
Black colobus monkey,Mammals
Puerto Rican plain Pigeon,Birds
White-tailed laurel Pigeon,Birds
Pink pigeon,Birds
Azores wood pigeon,Birds
Barrington land iguana,Reptiles
Goliath Frog,Amphibians
Cebu black shama ,Birds
Seychelles magpie-robin ,Birds
Reunion cuckoo-shrike,Birds
Mauritius cuckoo-shrike,Birds
Seychelles lesser vasa parrot,Birds
Nekogigi ,Fishes
Hawaiian  Crow,Birds
Mariana  Crow,Birds
White-necked crow,Birds
Ozark big-eared bat,Mammals
Virginia big-eared bat,Mammals
Banded cotinga,Birds
Pygmy Sculpin,Fishes
Grotto Sculpin,Fishes
Bumblebee bat,Mammals
Blue-billed curassow,Birds
Red-billed curassow,Birds
White River springfish,Fishes
Hiko White River springfish,Fishes
Railroad Valley springfish,Fishes
American crocodile,Reptiles
American crocodile,Reptiles
African slender-snouted crocodile,Reptiles
Orinoco crocodile,Reptiles
Nile crocodile,Reptiles
Philippine crocodile,Reptiles
Ceylon mugger crocodile,Reptiles
Mugger crocodile,Reptiles
Saltwater crocodile,Reptiles
Saltwater crocodile,Reptiles
Cuban crocodile,Reptiles
Siamese crocodile,Reptiles
White eared pheasant,Birds
Brown eared pheasant,Birds
Aruba Island rattlesnake,Reptiles
New Mexican ridge-nosed rattlesnake,Reptiles
Eastern Hellbender,Amphibians
Ozark Hellbender,Amphibians
diamond Darter,Fishes
Spectaclecase ,Clams
Dhole,Mammals
Little blue macaw,Birds
Forbes' parakeet,Birds
Norfolk Island parakeet,Birds
Miami Blue Butterfly,Insects
Nickerbean Blue Butterfly,Insects
Mayaguana iguana,Reptiles
Turks and Caicos iguana,Reptiles
Jamaican iguana,Reptiles
Andros Island ground iguana,Reptiles
Exuma Island iguana,Reptiles
Allen's Cay iguana,Reptiles
Grand Cayman ground iguana,Reptiles
Cayman Brac ground iguana,Reptiles
Cuban ground iguana,Reptiles
Anegada ground iguana,Reptiles
White Cay ground iguana,Reptiles
Acklins ground iguana,Reptiles
Watling Island ground iguana,Reptiles
Mona ground Iguana,Reptiles
Mexican prairie dog,Mammals
Utah prairie dog,Mammals
Totoaba ,Fishes
Blue shiner,Fishes
Beautiful shiner,Fishes
Leon Springs pupfish,Fishes
Devils Hole pupfish,Fishes
Comanche Springs pupfish,Fishes
Desert pupfish,Fishes
Ash Meadows Amargosa pupfish,Fishes
Warm Springs pupfish,Fishes
Owens pupfish,Fishes
Fanshell,Clams
Fanshell,Clams
Serpent Island gecko,Reptiles
Tampico pearlymussel,Clams
Merriam's Montezuma quail,Birds
Persian fallow deer,Mammals
Bontebok,Mammals
Western rufous bristlebird,Birds
Western bristlebird,Birds
Eastern native-cat,Mammals
Aye-aye,Mammals
beluga whale,Mammals
Lost River sucker,Fishes
Pillar Coral,Corals
Barbados yellow warbler ,Birds
Central American river turtle,Reptiles
Leatherback sea turtle,Reptiles
Valley elderberry longhorn beetle,Insects
Sumatran rhinoceros,Mammals
Black rhinoceros,Mammals
Casey's June Beetle,Insects
Amsterdam Albatross,Birds
Devils River minnow,Fishes
Morro Bay kangaroo rat,Mammals
Giant kangaroo rat,Mammals
San Bernardino Merriam's kangaroo rat,Mammals
Fresno kangaroo rat,Mammals
Tipton kangaroo rat,Mammals
Stephens' kangaroo rat,Mammals
Israel painted frog,Amphibians
Iowa Pleistocene snail,Snails
`I`iwi,Birds
Cloven-feathered dove,Birds
Dromedary pearlymussel,Clams
Dromedary pearlymussel,Clams
Dromedary pearlymussel,Clams
Hawaiian picture-wing fly,Insects
Hawaiian picture-wing fly,Insects
Hawaiian picture-wing fly,Insects
Hawaiian picture-wing fly,Insects
Hawaiian picture-wing fly,Insects
Hawaiian picture-wing fly,Insects
Hawaiian picture-wing fly,Insects
Hawaiian picture-wing fly,Insects
Hawaiian picture-wing fly,Insects
Hawaiian picture-wing fly,Insects
Hawaiian picture-wing fly,Insects
Hawaiian picture-wing fly,Insects
Hawaiian picture-wing fly,Insects
Hawaiian picture-wing fly,Insects
Eastern indigo snake,Reptiles
Tristam's woodpecker,Birds
Marquesas pigeon,Birds
Mindoro imperial  pigeon,Birds
Dugong,Mammals
Chinese egret,Birds
Delta green ground beetle,Insects
Spring pygmy sunfish,Fishes
Asian elephant,Mammals
Guajon,Amphibians
Golden coqui,Amphibians
Llanero Coqui,Amphibians
Lacy elimia ,Snails
Puritan tiger beetle,Insects
Chipola slabshell,Clams
Yellow lance,Clams
Altamaha Spinymussel,Clams
Purple bankclimber ,Clams
Pacific sheath-tailed Bat,Mammals
Pacific sheath-tailed Bat,Mammals
Slevin's skink,Reptiles
Pahrump poolfish,Fishes
Euler's flycatcher,Birds
Southwestern willow flycatcher,Birds
Northern Sea Otter,Mammals
Southern sea otter,Mammals
Puerto Rican boa,Reptiles
Mona boa,Reptiles
Jamaican boa,Reptiles
Nassau grouper,Fishes
Cumberlandian combshell,Clams
Cumberlandian combshell,Clams
Cumberlandian combshell,Clams
Oyster mussel,Clams
Oyster mussel,Clams
Oyster mussel,Clams
Curtis pearlymussel,Clams
Yellow blossom ,Clams
Yellow blossom ,Clams
Tan riffleshell,Clams
Upland combshell,Clams
Purple Cat's paw ,Clams
Purple Cat's paw ,Clams
White catspaw ,Clams
Southern acornshell,Clams
Southern combshell,Clams
Northern riffleshell,Clams
Green blossom ,Clams
Tubercled blossom ,Clams
Tubercled blossom ,Clams
Snuffbox mussel,Clams
Turgid blossom ,Clams
Turgid blossom ,Clams
African wild ass,Mammals
Grevy's zebra,Mammals
Asian wild ass,Mammals
Przewalski's horse,Mammals
Hartmann's mountain zebra,Mammals
Cape Mountain zebra,Mammals
Mountain zebra,Mammals
Desert dace,Fishes
Streaked Horned lark,Birds
Hawksbill sea turtle,Reptiles
bearded Seal,Mammals
bearded Seal,Mammals
Spotfin Chub,Fishes
Spotfin Chub,Fishes
Spotfin Chub,Fishes
Spotfin Chub,Fishes
Slender chub,Fishes
Slender chub,Fishes
Newcomb's snail,Snails
black-breasted puffleg,Birds
Gray whale,Mammals
bluemask darter,Fishes
Slackwater darter,Fishes
Vermilion darter,Fishes
Relict darter,Fishes
Etowah darter,Fishes
Fountain darter,Fishes
Yellowcheek Darter,Fishes
Niangua darter,Fishes
Watercress darter,Fishes
Okaloosa darter,Fishes
Candy darter,Fishes
Duskytail darter,Fishes
Duskytail darter,Fishes
Duskytail darter,Fishes
Rush Darter,Fishes
Bayou darter,Fishes
Cherokee darter,Fishes
Maryland darter,Fishes
Kentucky arrow darter,Fishes
Cumberland darter,Fishes
Trispot darter,Fishes
Boulder darter,Fishes
Boulder darter,Fishes
Snail [no common name],Snails
Southern Right Whale,Mammals
North Atlantic Right Whale,Mammals
North Pacific Right Whale,Mammals
Island marble Butterfly,Insects
Tidewater goby,Fishes
southern rockhopper penguin,Birds
fiordland crested penguin,Birds
erect-crested penguin,Birds
white-flippered penguin,Birds
Chilean woodstar,Birds
Bluetail mole skink,Reptiles
Steller sea lion,Mammals
Florida bonneted bat,Mammals
El Segundo blue butterfly,Insects
Smith's blue butterfly,Insects
Bay checkerspot butterfly,Insects
Quino checkerspot butterfly,Insects
Taylor's  Checkerspot,Insects
No common name,Corals
Kern primrose sphinx moth,Insects
Salado Salamander,Amphibians
San Marcos salamander,Amphibians
Georgetown Salamander,Amphibians
Texas blind salamander,Amphibians
